result_id,event_title,edition_id,sport
45838,"Doubles, Women",25,Tennis
359130,"Pole Vault, Women",59,Athletics
112932,"Foil, Team, Men",23,Fencing
19000509,"Triple Jump, Men",61,Athletics
19000711,"800 metres, Women",61,Athletics
354122,"Lightweight Double Sculls, Women",59,Rowing
395757,"Small-Bore Rifle, Three Positions, 50 metres, Women",59,Shooting
259982,"Individual All-Around, Women",53,Artistic Gymnastics
8478,"200 metres Individual Medley, Men",25,Swimming
41079,"Individual, Men",25,Archery
133121,"Welterweight, Freestyle (≤69 kilograms), Men",25,Wrestling
7951,"4 x 100 metres Medley Relay, Women",23,Swimming
6804,"200 metres Breaststroke, Men",20,Swimming
70593,"Floor Exercise, Men",22,Artistic Gymnastics
263132,"Featherweight, Freestyle (≤55 kilograms), Men",53,Wrestling
257270,"4 x 400 metres Relay, Men",53,Athletics
355772,"Flyweight, Freestyle (≤48 kilograms), Women",59,Wrestling
6849,"4 x 100 metres Medley Relay, Men",20,Swimming
258236,"Flyweight (≤51 kilograms), Men",53,Boxing
325052,"Welterweight (≤80 kilograms), Men",54,Taekwondo
311322,"Sabre, Individual, Women",54,Fencing
259758,"Sabre, Team, Women",53,Fencing
354046,"Single Sculls, Women",59,Rowing
30368,"Flyweight (≤48 kilograms), Women",26,Weightlifting
133505,"Middleweight, Greco-Roman (≤76 kilograms), Men",25,Wrestling
8969,"200 metres Freestyle, Women",26,Swimming
38884,"Water Polo, Men",25,Water Polo
19012150,"Individual, Open",61,Equestrian Jumping
47350,"Singles, Women",23,Table Tennis
258157,"Doubles, Women",53,Badminton
66512,"20 kilometres Race Walk, Women",26,Athletics
10158,"Multihull (Tornado), Open",21,Sailing
313015,"Horse Vault, Women",54,Artistic Gymnastics
70599,"Horizontal Bar, Men",22,Artistic Gymnastics
64016,"800 metres, Men",23,Athletics
19005277,"Doubles, Men",61,Badminton
70702,"Team All-Around, Men",24,Artistic Gymnastics
322275,"50 metres Freestyle, Men",54,Swimming
258384,"Light-Welterweight (≤64 kilograms), Men",53,Boxing
259507,"Foil, Individual, Women",53,Fencing
115494,"Foil, Team, Women",24,Fencing
19000754,"400 metres Hurdles, Women",61,Athletics
64676,"400 metres, Men",24,Athletics
19000526,"Shot Put, Men",61,Athletics
357065,"100 metres Breaststroke, Men",59,Swimming
322309,"200 metres Backstroke, Women",54,Swimming
132995,"Bantamweight, Freestyle (≤54 kilograms), Men",25,Wrestling
6895,"200 metres Backstroke, Women",20,Swimming
129490,"Light-Heavyweight, Greco-Roman (≤90 kilograms), Men",21,Wrestling
41441,"Team, Women",26,Archery
255886,"Canadian Doubles, 1,000 metres, Men",22,Canoe Sprint
302391,"1,500 metres, Women",54,Athletics
328157,"Team, Men",54,Table Tennis
30014,"Middleweight (≤75 kilograms), Men",23,Weightlifting
159156,"Eights, Women",22,Rowing
256002,"Canadian Singles, 1,000 metres, Men",23,Canoe Sprint
155048,"1,000 metres Time Trial, Men",26,Cycling Track
8034,"200 metres Backstroke, Men",24,Swimming
8852,"100 metres Butterfly, Men",26,Swimming
30150,"Super-Heavyweight (>108 kilograms), Men",24,Weightlifting
351378,"Heavyweight (>80 kilograms), Men",59,Taekwondo
353621,"Team All-Around, Men",59,Artistic Gymnastics
19002346,"Synchronized Springboard, Women",61,Diving
261524,"1,500 metres Freestyle, Men",53,Swimming
18001130,"Half-Heavyweight (≤100 kilograms), Men",61,Judo
51902,"Double Trap, Men",24,Shooting
19016400,"Foil, Individual, Men",61,Fencing
8786,"400 metres Freestyle, Men",26,Swimming
357350,"Rugby Sevens, Men",59,Rugby Sevens
19000408,"800 metres, Men",61,Athletics
257265,"4 x 100 metres Relay, Men",53,Athletics
260827,"Half-Heavyweight (≤78 kilograms), Women",53,Judo
63032,"100 metres, Women",21,Athletics
19001705,"Cross-Country, Women1",61,Cycling Mountain Bike
51754,"Running Target, 50 metres, Open",20,Shooting
19000897,"Heptathlon, Women",61,Athletics
30350,"Heavyweight (≤105 kilograms), Men",26,Weightlifting
185385,"Individual, Open",22,Equestrian Jumping
312000,"Football, Men",54,Football
159271,"Eights, Men",23,Rowing
322228,"200 metres Breaststroke, Women",54,Swimming
261431,"Softball, Women",53,Softball
8772,"200 metres Freestyle, Men",26,Swimming
70539,"Parallel Bars, Men",21,Artistic Gymnastics
62791,"High Jump, Men",21,Athletics
263105,"Light-Heavyweight (≤69 kilograms), Women",53,Weightlifting
185441,"Individual, Open",24,Equestrian Dressage
7910,"200 metres Butterfly, Women",23,Swimming
32728,"Basketball, Men",23,Basketball
900391,"Singles, Men",21,Tennis
129255,"Bantamweight, Greco-Roman (≤57 kilograms), Men",21,Wrestling
19000682,"200 metres, Women",61,Athletics
62408,"Hammer Throw, Men",20,Athletics
185510,"Individual, Open",26,Equestrian Eventing
19017508,"Sabre, Team, Women",61,Fencing
395714,"Small-Bore Rifle, Three Positions, 50 metres, Men",59,Shooting
19000436,"10,000 metres, Men",61,Athletics
32549,"Basketball, Women",20,Basketball
359051,"1,500 metres, Women",59,Athletics
63369,"10,000 metres, Men",22,Athletics
133332,"Bantamweight, Greco-Roman (≤54 kilograms), Men",25,Wrestling
51769,"Skeet, Open",21,Shooting
325078,"Heavyweight (>80 kilograms), Men",54,Taekwondo
66411,"100 metres, Women",26,Athletics
260188,"Extra-Lightweight (≤60 kilograms), Men",53,Judo
263024,"Middleweight (≤77 kilograms), Men",53,Weightlifting
64735,"Marathon, Men",24,Athletics
395800,"Singles, Men",59,Table Tennis
34224,"Football, Men",26,Football
42688,"Doubles, Mixed",25,Badminton
18000246,"Kumite, ≤61 kg, Women",61,Karate
70713,"Parallel Bars, Men",24,Artistic Gymnastics
262059,"Doubles, Women",53,Tennis
357521,"Foil, Team, Men",59,Fencing
9095,"4 x 200 metres Freestyle Relay, Women",26,Swimming
41055,"Team, Women",24,Archery
353580,"Kayak Doubles, 500 metres, Women",59,Canoe Sprint
357127,"4 x 100 metres Freestyle Relay, Men",59,Swimming
159100,"Eights, Men",22,Rowing
133762,"Welterweight, Freestyle (≤66 kilograms), Men",26,Wrestling
34809,"Handball, Men",23,Handball
10145,"Two Person Heavyweight Dinghy (Flying Dutchman), Open",21,Sailing
70878,"Individual All-Around, Women",26,Artistic Gymnastics
63850,"Shot Put, Women",22,Athletics
40703,"Individual, Women",22,Archery
19000213,"800 metres Freestyle, Women",61,Swimming
256352,"Kayak Fours, 1,000 metres, Men",26,Canoe Sprint
105157,"Foil, Team, Women",20,Fencing
332414,"Welterweight, Freestyle (≤66 kilograms), Men",54,Wrestling
8399,"100 metres Backstroke, Men",25,Swimming
8606,"100 metres Backstroke, Women",25,Swimming
64048,"10,000 metres, Men",23,Athletics
354805,"Half-Heavyweight (≤100 kilograms), Men",59,Judo
128256,"Welterweight, Freestyle (≤74 kilograms), Men",20,Wrestling
261532,"10 kilometres Open Water, Men",53,Marathon Swimming
54234,"Springboard, Women",21,Diving
25510,"Light-Heavyweight (≤81 kilograms), Men",21,Boxing
133165,"Middleweight, Freestyle (≤76 kilograms), Men",25,Wrestling
154673,"Road Race, Individual, Women",22,Cycling Road
19302,"Half-Middleweight (≤81 kilograms), Men",26,Judo
322007,"400 metres Individual Medley, Men",54,Swimming
129169,"Super-Heavyweight, Freestyle (>100 kilograms), Men",21,Wrestling
357717,"Épée, Team, Men",59,Fencing
259074,"Team, Open",53,Equestrian Eventing
131371,"Light-Flyweight, Greco-Roman (≤48 kilograms), Men",23,Wrestling
19017437,"Sabre, Individual, Women",61,Fencing
261842,"4 x 200 metres Freestyle Relay, Women",53,Swimming
19009149,"Pommelled Horse, Men",61,Artistic Gymnastics
